gene1	gene2	similarity	module1	module2
AT1G01560	AT1G02400	0.40389835595293816	turquoise	turquoise
AT1G01560	AT1G28380	0.4096530749036795	turquoise	turquoise
AT1G01560	AT1G29690	0.4112103937390513	turquoise	turquoise
AT1G01560	AT1G42990	0.40482126580416644	turquoise	turquoise
AT1G01560	AT2G37940	0.40431602752730506	turquoise	turquoise
AT1G01560	AT3G11820	0.419477940837432	turquoise	turquoise
AT1G02360	AT1G30755	0.4125922289483036	turquoise	turquoise
AT1G02360	AT3G26500	0.40766856790170813	turquoise	turquoise
AT1G02400	AT1G01560	0.40389835595293816	turquoise	turquoise
AT1G02400	AT1G05675	0.4171617109565287	turquoise	turquoise
AT1G02400	AT1G07000	0.4271002994895883	turquoise	turquoise
AT1G02400	AT1G13210	0.41076099196304167	turquoise	turquoise
AT1G02400	AT1G14370	0.4111139316839594	turquoise	turquoise
AT1G02400	AT1G14540	0.4011996972410415	turquoise	turquoise
AT1G02400	AT1G15890	0.40862838936081763	turquoise	turquoise
AT1G02400	AT1G16090	0.41604233693714904	turquoise	turquoise
AT1G02400	AT1G16670	0.41589314205238115	turquoise	turquoise
AT1G02400	AT1G18570	0.40375157257822214	turquoise	turquoise
AT1G02400	AT1G19020	0.4066525276238194	turquoise	turquoise
AT1G02400	AT1G21100	0.40135928893018874	turquoise	turquoise
AT1G02400	AT1G21110	0.4310040736305751	turquoise	turquoise
AT1G02400	AT1G21120	0.4229588776020768	turquoise	turquoise
AT1G02400	AT1G21130	0.41845506523552617	turquoise	turquoise
AT1G02400	AT1G22280	0.4239898310621661	turquoise	turquoise
AT1G02400	AT1G23840	0.4293650481882943	turquoise	turquoise
AT1G02400	AT1G24145	0.402371621328582	turquoise	turquoise
AT1G02400	AT1G24150	0.41472166572332314	turquoise	turquoise
AT1G02400	AT1G28380	0.406313132508165	turquoise	turquoise
AT1G02400	AT1G42990	0.4069809611176639	turquoise	turquoise
AT1G02400	AT1G50740	0.4041150161957293	turquoise	turquoise
AT1G02400	AT1G53080	0.4160718791094901	turquoise	turquoise
AT1G02400	AT1G55450	0.4192963367392896	turquoise	turquoise
AT1G02400	AT1G56060	0.4054078293064775	turquoise	turquoise
AT1G02400	AT1G58225	0.4174232381566136	turquoise	turquoise
AT1G02400	AT1G61560	0.40745848176716665	turquoise	turquoise
AT1G02400	AT1G64610	0.4085555869779318	turquoise	turquoise
AT1G02400	AT1G71400	0.41103935016048204	turquoise	turquoise
AT1G02400	AT1G71520	0.41169237830210265	turquoise	turquoise
AT1G02400	AT1G74650	0.4079599932943603	turquoise	turquoise
AT1G02400	AT1G76700	0.4146067690303178	turquoise	turquoise
AT1G02400	AT1G79680	0.4096870034394171	turquoise	turquoise
AT1G02400	AT2G13800	0.41518759295652147	turquoise	turquoise
AT1G02400	AT2G15390	0.41740790290175805	turquoise	turquoise
AT1G02400	AT2G19130	0.41169775882155935	turquoise	turquoise
AT1G02400	AT2G23320	0.4127098442278592	turquoise	turquoise
AT1G02400	AT2G24160	0.41355783342374614	turquoise	turquoise
AT1G02400	AT2G24600	0.400174311775403	turquoise	turquoise
AT1G02400	AT2G29100	0.40886468577411567	turquoise	turquoise
AT1G02400	AT2G31865	0.42268788876582764	turquoise	turquoise
AT1G02400	AT2G33110	0.40400008138820787	turquoise	turquoise
AT1G02400	AT2G33710	0.4196470694783383	turquoise	turquoise
AT1G02400	AT2G37940	0.42903132707794156	turquoise	turquoise
AT1G02400	AT2G40180	0.41098998589144153	turquoise	turquoise
AT1G02400	AT2G40740	0.40935766760199854	turquoise	turquoise
AT1G02400	AT2G41100	0.41982038796685717	turquoise	turquoise
AT1G02400	AT2G44490	0.400627701786187	turquoise	turquoise
AT1G02400	AT3G04220	0.40440113211222894	turquoise	turquoise
AT1G02400	AT3G09830	0.4189918514481645	turquoise	turquoise
AT1G02400	AT3G10720	0.41589137406344967	turquoise	turquoise
AT1G02400	AT3G11820	0.4206129785537593	turquoise	turquoise
AT1G02400	AT3G11840	0.41206696375273066	turquoise	turquoise
AT1G02400	AT3G12910	0.42378641797095534	turquoise	turquoise
AT1G02400	AT3G13433	0.41793718750253195	turquoise	turquoise
AT1G02400	AT3G14225	0.4277380754438569	turquoise	turquoise
AT1G02400	AT3G15518	0.4095431788501374	turquoise	turquoise
AT1G02400	AT3G16030	0.43047059954660116	turquoise	turquoise
AT1G02400	AT3G17700	0.42279207098856847	turquoise	turquoise
AT1G02400	AT3G21520	0.4153693912827856	turquoise	turquoise
AT1G02400	AT3G25610	0.4203110022910486	turquoise	turquoise
AT1G02400	AT3G26910	0.428024095309302	turquoise	turquoise
AT1G02400	AT3G26980	0.43036977633431045	turquoise	turquoise
AT1G02400	AT3G28580	0.4159896924158781	turquoise	turquoise
AT1G02400	AT3G28850	0.4080786404383214	turquoise	turquoise
AT1G02400	AT3G46110	0.4228299167777131	turquoise	turquoise
AT1G02400	AT3G47090	0.4104166748841914	turquoise	turquoise
AT1G02400	AT3G47820	0.4126740427481196	turquoise	turquoise
AT1G02400	AT3G48630	0.424714283523653	turquoise	turquoise
AT1G02400	AT3G50760	0.40046670957105135	turquoise	turquoise
AT1G02400	AT4G00970	0.42877398611728884	turquoise	turquoise
AT1G02400	AT4G01010	0.4332393263665686	turquoise	turquoise
AT1G02400	AT4G04540	0.40014086558375755	turquoise	turquoise
AT1G02400	AT4G11330	0.4162872317030505	turquoise	turquoise
AT1G02400	AT4G11470	0.4193820851685901	turquoise	turquoise
AT1G02400	AT4G11521	0.4210257250835489	turquoise	turquoise
AT1G02400	AT4G14365	0.40441648613259523	turquoise	turquoise
AT1G02400	AT4G20780	0.40031982721880477	turquoise	turquoise
AT1G02400	AT4G21390	0.4263760883631695	turquoise	turquoise
AT1G02400	AT4G21920	0.40966866626249915	turquoise	turquoise
AT1G02400	AT4G22710	0.4282644831873624	turquoise	turquoise
