gene_id	colors
AT1G01480	blue
AT1G01560	turquoise
AT1G02030	blue
AT1G02230	blue
AT1G02360	turquoise
AT1G02400	turquoise
AT1G02440	blue
AT1G02450	blue
AT1G02920	blue
AT1G02930	blue
AT1G02940	blue
AT1G03220	turquoise
AT1G03370	turquoise
AT1G03905	blue
AT1G04370	blue
AT1G04380	turquoise
AT1G05300	blue
AT1G05340	turquoise
AT1G05575	turquoise
AT1G05670	turquoise
AT1G05675	turquoise
AT1G05680	blue
AT1G06135	turquoise
AT1G07000	turquoise
AT1G07135	turquoise
AT1G07160	turquoise
AT1G07400	blue
AT1G07620	blue
AT1G08050	blue
AT1G08860	turquoise
AT1G08940	blue
AT1G09070	turquoise
AT1G09080	blue
AT1G09560	blue
AT1G09930	turquoise
AT1G09932	turquoise
AT1G09940	turquoise
AT1G09950	turquoise
AT1G10040	blue
AT1G10340	turquoise
AT1G10417	blue
AT1G10585	blue
AT1G10700	blue
AT1G11050	turquoise
AT1G11100	blue
AT1G11925	turquoise
AT1G13110	blue
AT1G13210	turquoise
AT1G13340	turquoise
AT1G13520	turquoise
AT1G13530	turquoise
AT1G13540	blue
AT1G13550	blue
AT1G14040	turquoise
AT1G14150	brown
AT1G14260	turquoise
AT1G14370	turquoise
AT1G14455	turquoise
AT1G14540	turquoise
AT1G14550	turquoise
AT1G14640	blue
AT1G14642	blue
AT1G14870	turquoise
AT1G14960	brown
AT1G15010	turquoise
AT1G15415	blue
AT1G15430	turquoise
AT1G15520	blue
AT1G15890	turquoise
AT1G16090	turquoise
AT1G16110	turquoise
AT1G16120	turquoise
AT1G16130	turquoise
AT1G16150	turquoise
AT1G16160	turquoise
AT1G16420	turquoise
AT1G16670	turquoise
AT1G17147	turquoise
AT1G17240	turquoise
AT1G17330	blue
AT1G17380	turquoise
AT1G17420	turquoise
AT1G18140	blue
AT1G18290	blue
AT1G18300	turquoise
AT1G18390	turquoise
AT1G18570	turquoise
AT1G18740	turquoise
AT1G18890	turquoise
AT1G19020	turquoise
AT1G19150	brown
AT1G19180	turquoise
AT1G19320	turquoise
AT1G19380	turquoise
AT1G19610	blue
AT1G19770	turquoise
AT1G20310	turquoise
AT1G20823	turquoise
AT1G21010	turquoise
AT1G21100	turquoise
AT1G21110	turquoise
AT1G21120	turquoise
AT1G21130	turquoise
AT1G21240	blue
AT1G21245	blue
AT1G21326	turquoise
AT1G22280	turquoise
AT1G22400	blue
AT1G22650	blue
AT1G22810	turquoise
AT1G22890	turquoise
AT1G23170	blue
AT1G23550	blue
AT1G23560	blue
AT1G23710	turquoise
AT1G23730	blue
AT1G23840	turquoise
AT1G24145	turquoise
AT1G24147	turquoise
AT1G24150	turquoise
AT1G24270	blue
AT1G24807	blue
AT1G24909	blue
AT1G25083	blue
AT1G25155	blue
AT1G25220	blue
AT1G25370	turquoise
AT1G25390	turquoise
AT1G25400	turquoise
AT1G26380	blue
AT1G26410	blue
AT1G26420	blue
AT1G26690	blue
AT1G26730	blue
AT1G27100	turquoise
AT1G27720	blue
AT1G27730	turquoise
AT1G27770	turquoise
AT1G28190	turquoise
AT1G28370	turquoise
AT1G28380	turquoise
AT1G28390	blue
AT1G28480	turquoise
AT1G28680	blue
AT1G29660	brown
AT1G29680	turquoise
AT1G29690	turquoise
AT1G29715	blue
AT1G30040	turquoise
AT1G30135	blue
AT1G30190	turquoise
AT1G30320	blue
AT1G30370	turquoise
AT1G30420	turquoise
AT1G30620	blue
AT1G30700	turquoise
AT1G30720	turquoise
AT1G30730	turquoise
AT1G30755	turquoise
AT1G30900	blue
AT1G31173	brown
AT1G31540	turquoise
AT1G31930	blue
AT1G32350	blue
AT1G32920	turquoise
AT1G32928	turquoise
AT1G32940	blue
AT1G32960	turquoise
AT1G33030	blue
AT1G33590	turquoise
AT1G33610	turquoise
AT1G33760	turquoise
AT1G34750	blue
AT1G35140	turquoise
AT1G35210	turquoise
AT1G35230	blue
AT1G35710	blue
AT1G35910	turquoise
AT1G36622	turquoise
AT1G36640	turquoise
AT1G42980	turquoise
AT1G42990	turquoise
AT1G43000	turquoise
AT1G44130	turquoise
AT1G47510	blue
AT1G47890	turquoise
AT1G47990	blue
AT1G49000	turquoise
AT1G49030	blue
AT1G49130	brown
AT1G50180	blue
AT1G50310	turquoise
AT1G50740	turquoise
AT1G50750	turquoise
AT1G51620	turquoise
AT1G51680	blue
AT1G51700	turquoise
AT1G51760	blue
AT1G51780	turquoise
AT1G51790	blue
AT1G51800	blue
AT1G51820	turquoise
AT1G51850	blue
AT1G51860	blue
AT1G51890	blue
AT1G51900	turquoise
AT1G51913	turquoise
AT1G51915	turquoise
AT1G51920	blue
AT1G52200	blue
AT1G53080	turquoise
AT1G53625	turquoise
AT1G53633	turquoise
AT1G53980	blue
AT1G53990	blue
AT1G55230	blue
AT1G55450	turquoise
AT1G56060	turquoise
AT1G56140	turquoise
AT1G56240	turquoise
AT1G56250	turquoise
AT1G56470	turquoise
AT1G56510	turquoise
AT1G56540	turquoise
AT1G56660	turquoise
AT1G57630	blue
AT1G57650	blue
AT1G57990	turquoise
AT1G58225	turquoise
AT1G58420	turquoise
AT1G59590	turquoise
AT1G59860	turquoise
AT1G59910	turquoise
AT1G59950	blue
AT1G60730	blue
AT1G60750	blue
AT1G61120	blue
AT1G61340	turquoise
AT1G61360	turquoise
AT1G61370	turquoise
AT1G61420	blue
AT1G61440	blue
AT1G61470	turquoise
AT1G61550	turquoise
AT1G61560	turquoise
AT1G61610	blue
AT1G61720	blue
AT1G61810	blue
AT1G61820	turquoise
AT1G62300	turquoise
AT1G62305	blue
AT1G63245	turquoise
AT1G63720	turquoise
AT1G63750	turquoise
AT1G63820	turquoise
AT1G63860	turquoise
AT1G64065	turquoise
AT1G64160	blue
AT1G64380	turquoise
AT1G64400	blue
AT1G64610	turquoise
AT1G65385	turquoise
AT1G65390	turquoise
AT1G65481	blue
AT1G65486	turquoise
AT1G65490	turquoise
AT1G65510	turquoise
AT1G65690	blue
AT1G65730	blue
AT1G65845	blue
AT1G66090	turquoise
AT1G66160	turquoise
AT1G66170	turquoise
AT1G66400	turquoise
AT1G66460	blue
AT1G66480	blue
AT1G66500	turquoise
AT1G66600	blue
AT1G66700	blue
AT1G66780	blue
AT1G66830	blue
AT1G66880	blue
AT1G66920	blue
AT1G67000	turquoise
AT1G67270	blue
AT1G67470	turquoise
AT1G67520	turquoise
AT1G67810	blue
AT1G67850	blue
AT1G67856	turquoise
AT1G67880	turquoise
AT1G67920	blue
AT1G67980	blue
AT1G68330	turquoise
AT1G68390	blue
AT1G68450	turquoise
AT1G68520	brown
AT1G68690	turquoise
AT1G68765	turquoise
AT1G69150	turquoise
AT1G69520	blue
AT1G69890	turquoise
AT1G69900	turquoise
AT1G69920	blue
AT1G69930	turquoise
AT1G70130	turquoise
AT1G70140	turquoise
AT1G70420	turquoise
AT1G70520	blue
AT1G70530	turquoise
AT1G70581	turquoise
AT1G70740	turquoise
AT1G70920	blue
AT1G71000	blue
AT1G71400	turquoise
AT1G71520	turquoise
AT1G71697	turquoise
AT1G72060	turquoise
AT1G72280	turquoise
AT1G72520	turquoise
AT1G72760	turquoise
AT1G72900	turquoise
AT1G72910	turquoise
AT1G72920	turquoise
AT1G72940	turquoise
AT1G72950	turquoise
AT1G73080	turquoise
AT1G73540	turquoise
AT1G73550	turquoise
AT1G73805	turquoise
AT1G73810	turquoise
AT1G74080	blue
AT1G74100	blue
AT1G74310	blue
AT1G74330	turquoise
AT1G74360	turquoise
AT1G74440	turquoise
AT1G74450	turquoise
AT1G74650	turquoise
AT1G74670	brown
AT1G74710	blue
AT1G74790	blue
AT1G74930	turquoise
AT1G75000	turquoise
AT1G75830	blue
AT1G75960	brown
AT1G76040	blue
AT1G76070	turquoise
AT1G76470	blue
AT1G76560	blue
AT1G76600	turquoise
AT1G76650	turquoise
AT1G76680	blue
AT1G76700	turquoise
AT1G76970	turquoise
AT1G78000	blue
AT1G78410	turquoise
AT1G79245	turquoise
AT1G79400	blue
AT1G79680	turquoise
AT1G80450	turquoise
AT1G80820	turquoise
AT1G80840	turquoise
AT2G01180	turquoise
AT2G02010	turquoise
AT2G02061	blue
AT2G02220	turquoise
AT2G02310	turquoise
AT2G02810	blue
AT2G02930	blue
AT2G03290	blue
AT2G03310	brown
AT2G03505	blue
AT2G04400	blue
AT2G04495	turquoise
