Systematic Name Interactor A	Systematic Name Interactor B
AT5G61210	AT3G11820
AT3G18690	AT2G38470
AT2G38470	AT3G18690
AT4G31800	AT1G80840
AT1G80840	AT4G31800
AT2G40180	AT3G45640
AT3G45640	AT2G47060
AT3G45640	AT1G27730
AT1G27730	AT3G45640
AT4G11890	AT4G04540
AT4G34460	AT1G66160
AT3G52450	AT1G07000
AT1G07000	AT3G52450
AT3G45640	AT4G17490
AT3G11820	AT5G61210
AT2G31880	AT2G32680
AT2G32680	AT2G31880
AT3G45640	AT4G18880
AT5G58430	AT5G61210
AT5G61210	AT5G58430
AT4G23810	AT3G51920
AT3G51920	AT4G23810
AT3G50950	AT5G25440
